,text
157,"<s>[INST]Số liền trước của số 78540 là:, các đáp án
78 530
78 539
78 640
79 540[/INST]</s>
Lời giải:Muốn tìm số liền trước của một số ta lấy số đó trừ đi 1 đơn vị.
 Lấy 78540 – 1 = 78539
 Vậy số liền trước của số 78540 là: 78539
Chọn đáp án:78539"
158,"<s>[INST]Số liền trước của số 800 là:, các đáp án
779
801
799
789[/INST]</s>
Lời giải:Muốn tìm số liền trước của một số, ta lấy số đó trừ đi 1 đơn vị. Vậy số liền trước của số 800 là: 800 – 1 = 799
Chọn đáp án:799"
159,"<s>[INST]Số liền trước của số lớn nhất có năm chữ số là:, các đáp án
89 999
98 999
99 998
99 989[/INST]</s>
Lời giải:Số lớn nhất có năm chữ số là 99999
 Số liền trước của số lớn nhất có năm chữ số là: 99998
Chọn đáp án:99998"
160,"<s>[INST]Số liền trước của số lớn nhất có năm chữ số là:, các đáp án
89 999
99 998
98 999
99 989[/INST]</s>
Lời giải:Số lớn nhất có năm chữ số là: 99999
 Vậy số liền trước của số lớn nhất có năm chữ số là: 99998
Chọn đáp án:99998"
161,"<s>[INST]3 và ? được 7, các đáp án
3
4
5
6[/INST]</s>
Lời giải:3 và 4 được 7.Vậy số cần điền là: 4
Chọn đáp án:4"
162,"<s>[INST]Số liền trước của số tròn chục nhỏ nhất có ba chữ số là:, các đáp án
99
111
109
110[/INST]</s>
Lời giải:Số tròn chục nhỏ nhất có ba chữ số là: 100
 Muốn tìm số liền trước của một số, ta lấy số đó trừ đi 1 đơn vị. Vậy số liền trước của 100 là: 100 – 1 = 99
 Vậy số liền trước của số tròn chục nhỏ nhất có ba chữ số là: 99
Chọn đáp án:99"
163,"<s>[INST]Số lớn nhất có ba chữ số ghép được từ các số 2, 8, 5, 0 là:, các đáp án
285
852
582
805[/INST]</s>
Lời giải:Ta có: 85 20
 Số lớn nhất có ba chữ số ghép được từ các số 2, 8, 5, 0 là số tính từ trái sang phải theo thứ tự các số đã cho giảm dần.
 Vậy số đó la: 852
Chọn đáp án:852"
164,"<s>[INST]3,25 tấn = …… kg. Số thích hợp điền vào chỗ chấm là:, các đáp án
3250
325
32,5
3,25[/INST]</s>
Lời giải:Ta có: 1 tấn = 1000 kgNên 3,25 tấn = 3250 kg.
Chọn đáp án:3250"
165,"<s>[INST]Diện tích xung quanh của hình hộp chữ nhật có chiều dài 1,1m, chiều rộng
 0,5m và chiều cao 1m là:, các đáp án
1,6m2
3,2m2
4,3m2
3,75m2[/INST]</s>
Lời giải:Chu vi mặt đáy hình hộp chữ nhật:
 (1,1 + 0,5) ${\times}$ 2 = 3,2 (m)
 Diện tích xung quanh hình hộp chữ nhật:
 3,2 ${\times}$ 1 = 3,2 (m2)
Chọn đáp án:4,3m2"
166,"<s>[INST]3,2m3 = ... dm3. Số thích hợp viết vào chỗ chấm là:, các đáp án
32000
3200
320
32[/INST]</s>
Lời giải:1m3 = 1000dm33,2m3 $\times$ 1000 = 3200dm3.
Chọn đáp án:3200"
167,"<s>[INST]Số lớn nhất trong các số 8,09; 7,99; 8,89; 8,9 là:, các đáp án
8,09
7,99
8,89
8,9[/INST]</s>
Lời giải:Số 7,99 có phần nguyên là 7.Các số 8,09; 8,89; 8,9 đều có phần nguyên là 8
 + Số 8,09 có hàng phần mười là 0
 + Số 8,89 có hàng phần mười là 8
 + Số 8,9 có hàng phần mười là 9
 Do 0 < 8 < 9 nên 8,09 < 8,89 < 8,9
 Do 7 < 8 nên 7,99 < 8,09 < 8,89 < 8,9
 Vậy số lớn nhất trong các số trên là: 8,9.
Chọn đáp án:8,9"
168,"<s>[INST]Số lớn nhất trong các số: 12,356; 12,365; 12,563; 12,536 là:, các đáp án
12,356
12,365
12,563
12,536[/INST]</s>
Lời giải:So sánh các số 12,356; 12,365; 12,563; 12,536 có: Phần nguyên: 12 = 12
 Phần mười: 35+ So sánh các số 12,563; 12,536 có: Phần trăm: 36 nên 12,53612,563
 Vậy số lớn nhất là: 12,563.
Chọn đáp án:12,563"
169,"<s>[INST]3,3 giờ = .....giờ......phút., các đáp án
3 giờ 30 phút
3 giờ 15 phút
3 giờ 18 phút
3 giờ 12 phút[/INST]</s>
Lời giải:3,3 giờ = 3 giờ + 0,3 ${\times}$ 60 phút. = 3 giờ 18 phút.
Chọn đáp án:3 giờ 18 phút"
170,"<s>[INST]Số năm trăm hai mươi mốt viết là:, các đáp án
512
125
521
251[/INST]</s>
Lời giải:Số năm trăm hai mươi mốt viết là: 521
Chọn đáp án:521"
171,"<s>[INST]Số nào dưới đây có chữ số hàng nghìn là 5?, các đáp án
51 490
25 823
62 059
71 543[/INST]</s>
Lời giải:Chữ số hàng nghìn là chữ số thứ 4 từ phải đếm qua
Chọn đáp án:25823"
172,"<s>[INST]30% của 40 tạ là:, các đáp án
7 tạ
12 tạ
28 tạ
120 tạ[/INST]</s>
Lời giải:30% của 40 tạ là: 40 ${\times}$ $\frac{30}{100}$ = 12 (tạ).
Chọn đáp án:12 tạ"
173,"<s>[INST]Số nhỏ nhất là: 62 54, các đáp án
6
2
5
4[/INST]</s>
Lời giải:So sánh: 2 < 4 < 5 < 6. Vậy số nhỏ nhất là 2
Chọn đáp án:2"
174,"<s>[INST]30% của 80 là:, các đáp án
24
42
240
2 400[/INST]</s>
Lời giải:0.3 $\times$ 80 = 24.
Chọn đáp án:24"
175,"<s>[INST]Số nhỏ nhất trong các số 34, 51, 68, 29 là:, các đáp án
34
51
68
29[/INST]</s>
Lời giải:Số 34 có chữ số hàng chục là 3;
 Số 51 có chữ số hàng chục là 5;
 Số 68 có chữ số hàng chục là 6;
 Số 29 có chữ số hàng chục là 2.
 Do 2 < 3 < 5 < 6 nên 29 < 34 < 51 < 68.
 Vậy số nhỏ nhất trong các số trên là: 29.
Chọn đáp án:29"
176,"<s>[INST]Số nhỏ nhất trong các số 5,686; 5,676; 5,668; 5,716 là:, các đáp án
5,686
5,676
5,668
5,716[/INST]</s>
Lời giải:Các số 5,686; 5,676; 5,668; 
 5,716 đều có cùng phần nguyên là 5.+ Số 5,686; 5,676; 5,668 đều có hàng phần 10 là 6. 
 Số 5,686 có hàng phần 100 là 8; 
 số 5,676 có hàng phần 100 là 7; 
 số 5,668 có hàng phần 100 là 6.
 Do 6 < 7 < 8 nên 5,668 < 5,676 < 5,686.
 + Số 5,716 có hàng phần 10 là 7.
 Do 67 nên 5,668 < 5,676 < 5,686 < 5,716.
 Vậy số bé nhất trong các số trên là: 5,668.
Chọn đáp án:5,668"
177,"<s>[INST]Số nhỏ nhất trong các số 8,686; 8,676; 8,668; 8,716 là:, các đáp án
8,686
8,676
8,668
8,716[/INST]</s>
Lời giải:Các số 8,686; 8,676; 8,668; 8,716 đều có cùng phần nguyên là 8.
 + Số 8,686; 8,676; 8,668 đều có hàng phần 10 là 6.
 + Số 8,686 có hàng phần 100 là 8; số 8,676 có hàng phần 100 là 7; số 8,668 có hàng phần 100 là 6.
 Do 6 < 7 < 8 nên 8,668 < 8,676 < 8,686. Số 8,716 có hàng phần 10 là 7.
 Do 6 < 7 nên 8,668 < 8,676 < 8,686 < 8,716.
 Vậy số bé nhất trong các số trên là: 8,668.
Chọn đáp án:8,668"
178,"<s>[INST]31, 146, 41, 147, 51, 148, 61, 149, … là:, các đáp án
81
71
61
51[/INST]</s>
Lời giải:Dựa theo qui luật tăng dần 10 đơn vị của dãy số ở vị trí lẻ: 41- 31 = 10, 51 - 41 = 10, 61- 51 = 10.
Chọn đáp án:71"
179,"<s>[INST]Số tám trăm chín mươi tư viết là:, các đáp án
849
498
894
984[/INST]</s>
Lời giải:Số tám trăm chín mươi tư viết là: 894
Chọn đáp án:894"
180,"<s>[INST]Số thập phân “Hai trăm năm mươi sáu phẩy bảy mươi chín” được viết là:, các đáp án
2056,79
256,79
256,709
2056,709[/INST]</s>
Lời giải:Số thập phân “Hai trăm năm mươi sáu phẩy bảy mươi chín” được viết là: 256,79.
Chọn đáp án:256,79"
181,"<s>[INST]35 là số liền sau của:, các đáp án
36
34
37
33[/INST]</s>
Lời giải:Số cần tìm là số liền trước của 35
 Muốn tìm số liền trước của một số, ta lấy số đó trừ đi 1 đơn vị.
 Vậy 35 là số liền sau của: 35 – 1 = 34
Chọn đáp án:34"
182,"<s>[INST]Số thập phân gồm “55 đơn vị, 3 phần mười, 5 phần nghìn” được viết là:, các đáp án
55,35
55,305
55,035
55,350[/INST]</s>
Lời giải:Số thập phân gồm “55 đơn vị, 3 phần mười, 5 phần nghìn” được viết là: 55,305.
Chọn đáp án:55,305"
183,"<s>[INST]Số thập phân gồm “Ba trăm linh tám đơn vị, năm phần trăm, chín phần nghìn” được viết là:, các đáp án
308,59
308,509
308,059
308,590[/INST]</s>
Lời giải:Số thập phân gồm “Ba trăm linh tám đơn vị, năm phần trăm, chín phần nghìn” được viết là: 308,059.
Chọn đáp án:308,059"
184,"<s>[INST]Số thập phân gồm “ba trăm, năm đơn vị. hai phần mười và tám phần nghìn” được viết là:, các đáp án
35,28
305,28
305,208
35,208[/INST]</s>
Lời giải:Số thập phân gồm “ba trăm, năm đơn vị. hai phần mười và tám phần nghìn” được viết là: 305,208.
Chọn đáp án:305,208"
185,"<s>[INST]Số thập phân thích hợp điền vào chỗ chấm để 4 tấn 13kg = …….tấn là:, các đáp án
4,13
4,013
4,0013
4,103[/INST]</s>
Lời giải:4 tấn 13kg = 4,013 tấn Số thập phân thích hợp điền vào chỗ chấm là: 4,013
Chọn đáp án:4,013"
186,"<s>[INST]Số thập phân thích hợp điền vào chỗ chấm: 5kg 85g = ………. kg là:, các đáp án
55,8
58,5
5,85
5,085[/INST]</s>
Lời giải:85g = 0,085 kg
 5 kg 85g = 5 kg + 0,085 kg = 5,085 kg
 Vậy số thích hợp cần điền vào chỗ chấm là: 5,085
Chọn đáp án:5,085"
187,"<s>[INST]Số thích hợp cần điền vào chỗ chấm để 450000cm3 = …….m3 là:, các đáp án
45
0,045
0,45
450[/INST]</s>
Lời giải:450000cm3 = 0,45m3
Chọn đáp án:0,45"
188,"<s>[INST]36 + 155 ${\times}$ ? 70 – 21, các đáp án
7
8
9
10[/INST]</s>
Lời giải:36 + 155 ${\times}$ ? 70 – 21Ta có:$36 + 15 = 51$70 – 21 = 49
 Ta có: 515 ${\times}$ ? 49Vậy 5 ${\times}$ ? = 50
 Vậy số cần điền là: 10
Chọn đáp án:10"
189,"<s>[INST]38mm2 đọc là:, các đáp án
Ba tám mi-li-mét vuông
Ba mươi tám mi-li-mét
Ba mươi tám mi-li-mét vuông
Ba tám mi-li-mét[/INST]</s>
Lời giải:nan
Chọn đáp án:Ba mươi tám mi-li-mét vuông"
190,"<s>[INST]3km 48m = ……..km., các đáp án
3,48
3,048
348
3048[/INST]</s>
Lời giải:48m = 48 ${\times}$ 0,001 = 0,048km. 3km + 0,048km = 3,048km.
Chọn đáp án:3,048"
191,"<s>[INST]Số thích hợp để viết vào chỗ chấm của 0,015 tấn = ..........kg là, các đáp án
150
15
1,5
0,15[/INST]</s>
Lời giải:1 tấn = 1000 kg 
 0,015 tấn = 0,015 ${\times}$ 1000 = 15 kg
Chọn đáp án:15"
192,"<s>[INST]Số thích hợp điền vào chỗ chấm 5kg 30g = …….. kg là:, các đáp án
53
50,3
5,03
5,3[/INST]</s>
Lời giải:30g = 0,03 kg5 kg 30g = 5 kg + 0,03 kg = 5,03 kg Vậy số thích hợp cần điền vào chỗ chấm là: 5,03
Chọn đáp án:5,03"
193,"<s>[INST]Số thích hợp điền vào chỗ chấm để $\frac{....}{3}=\frac{35}{21}$ là:, các đáp án
49
5
7
21[/INST]</s>
Lời giải:$\frac{5}{3}=\frac{5\times 7}{3\times 7}=\frac{35}{21}$
 Vậy số thích hợp điền vào chỗ chấm là 5.
Chọn đáp án:5"
194,"<s>[INST]3m 15 cm = ……… cm. Số thích hợp điền vào chỗ chấm là:, các đáp án
0,315
3,15
31,5
315[/INST]</s>
Lời giải:3m đổi ra cm là: 3m ${\times}$ 100 = 300cm. 300cm + 15cm = 315 cm.
Chọn đáp án:315"
195,"<s>[INST]Số thích hợp điền vào chỗ chấm để 50g = ………. kg là, các đáp án
5000
0,05
0,5
5[/INST]</s>
Lời giải:1 kg = 1000 g
 50 g = 50 : 1000 (kg) = 0,05 kg
Chọn đáp án:0,05"
196,"<s>[INST]Số thích hợp điền vào chỗ chấm: 8ha 25m2 = …….. dam2 là:, các đáp án
825
800,25
8,25
80025[/INST]</s>
Lời giải:8ha = 800 dam225 m2 = 0,25 dam2Vậy 8ha 25m2 = 800,25 dam2 Vậy số thích hợp điền vào chỗ chấm là: 800,25
Chọn đáp án:800,25"
197,"<s>[INST]Hình tròn có bán kính 0,5cm. Chu vi của hình tròn đó là:, các đáp án
6,28cm
3,14cm
12,56cm
1,57cm[/INST]</s>
Lời giải:Hình tròn có bán kính 0,5cm. Chu vi của hình tròn đó là: 2 ${\times}$ 0,5 ${\times}$ 3,14 = 3,14 (cm)
Chọn đáp án:3,14cm"
198,"<s>[INST]3m246dm2 = ……… dm2. Số cần điền vào chỗ chấm là:, các đáp án
300 046
30 046
3 046
346[/INST]</s>
Lời giải:3m2 = 300 dm2 Vậy 300dm2 + 46dm2 = 346 dm2 Vậy số thích hợp điền vào chỗ chấm là: 346
Chọn đáp án:346"
199,"<s>[INST]Số thích hợp viết vào chỗ chấm để $\frac{1}{10}$ phút = ............. giây:, các đáp án
60
120
6
16[/INST]</s>
Lời giải:Vì 1 phút = 60 giây nên $\frac{1}{10}$ phút = $\frac{1}{10}$ ${\times}$ 60 giây = 6 giây
 Vậy $\frac{1}{10}$ phút = 6 giây
Chọn đáp án:6"
200,"<s>[INST]Số thuộc hàng phần trăm trong số thập phân 32,879 là:, các đáp án
2
8
7
9[/INST]</s>
Lời giải:Số 32,879 có phần thập phân là 879. 
 Trong đó, số 8 thuộc hàng phần 10, số 7 thuộc hàng phần trăm, số 9 thuộc hàng phần nghìn.
 Vậy số thuộc hàng phần trăm trong số thập phân 32,879 là: 7.
Chọn đáp án:7"
201,"<s>[INST]4 giờ 15 phút chiều còn được gọi là:, các đáp án
15 giờ 15 phút
16 giờ 15 phút
17 giờ 15 phút
15 giờ 5 phút[/INST]</s>
Lời giải:4 giờ 15 phút chiều còn được gọi là: 16 giờ 15 phút.
Chọn đáp án:16 giờ 15 phút"
202,"<s>[INST]Số tự nhiên n thỏa mãn 2^n = 8 là, các đáp án
1
2
3
4[/INST]</s>
Lời giải:2^n = 8
2^n = 2^3
Vậy n = 3.
Chọn đáp án:3"
203,"<s>[INST]Sử dụng máy tính bỏ túi, hãy viết giá trị gần đúng của \pi^2 chính xác đến hàng phần nghìn., các đáp án
9,870
9,869
9,871
9,8696[/INST]</s>
Lời giải:Sử dụng máy tính bỏ túi ta có giá trị của \pi^2 là 9,8696044. Do đó giá trị gần đúng của \pi^2 chính xác đến hàng phần nghìn là 9,870.
Chọn đáp án:9,870"
204,"<s>[INST]Sử dụng máy tính bỏ túi, hãy viết giá trị gần đúng của \sqrt3 chính xác đến hàng phần trăm, các đáp án
1,73
1,732
1,7
1,7320[/INST]</s>
Lời giải:Sử dụng máy tính bỏ túi ta có \sqrt3 = 1,732050808. Do đó: Giá trị gần đúng của \sqrt3 chính xác đến hàng phần trăm là 1,73.
Chọn đáp án:1,73"
205,"<s>[INST]Tam giác ABC có diện tích 40 cm2. Chiều cao AH có độ dài 0,8 dm. Độ dài đáy BC của tam giác ABC là:, các đáp án
5 cm
10 cm
5 cm
20 cm[/INST]</s>
Lời giải:Đổi: 0,8 dm = 8 cm. Độ dài đáy BC của tam giác ABC là: 2 ${\times}$ $\frac{40}{8}$ = 10 (cm)
Chọn đáp án:10 cm"
206,"<s>[INST]4 là thương của:, các đáp án
10 và 2
2 và 2
20 và 5
30 và 5[/INST]</s>
Lời giải:Ta có:$\frac{10}{2}$ = $\frac{52}{2}$ = $\frac{120}{5}$ = $\frac{430}{5}$ = 6Vậy 4 là thương của: 20 và 5
Chọn đáp án:20 và 5"
207,"<s>[INST]Thể tích của hình lập phương có cạnh 2,1cm là:, các đáp án
4,41cm3
44,1cm3
9,261cm3
92,61cm3[/INST]</s>
Lời giải:Thể tích của hình lập phương có cạnh 2,1cm là: 2,1 ${\times}$ 2,1 ${\times}$ 2,1 = 9,261 (cm3).
Chọn đáp án:9,261cm3"
208,"<s>[INST]Thể tích của hình lập phương có cạnh 2dm là:, các đáp án
8dm3
80dm3
4dm3
40dm3[/INST]</s>
Lời giải:Thể tích của hình lập phương có cạnh 2dm là: 2 ${\times}$ 2 ${\times}$ 2 = 8 (dm3)
Chọn đáp án:8dm3"
209,"<s>[INST]Thể tích của hình lập phương có cạnh 4,5cm là:, các đáp án
91,125
911,25
91,125cm3
911,25cm3[/INST]</s>
Lời giải:Thể tích của hình lập phương có cạnh 4,5cm là: 4,5 ${\times}$ 4,5 ${\times}$ 4,5 = 91,125 (cm3).
Chọn đáp án:91,125cm3"
210,"<s>[INST]4% của 8000l là:, các đáp án
360 l
280 l
320 l
300 l[/INST]</s>
Lời giải:0,04 ${\times}$ 8000 = 320.
Chọn đáp án:320 l"
211,"<s>[INST]Thể tích của hình lập phương có cạnh 9cm là:, các đáp án
81cm3
324 cm3
486 cm3
729 cm3[/INST]</s>
Lời giải:Thể tích của hình lập phương có cạnh 9cm là: 9 ${\times}$ 9 ${\times}$ 9 = 729 (cm3).
Chọn đáp án:729 cm3"
212,"<s>[INST]Thể tích của hình lập phương có cạnh bằng 3,5cm là:, các đáp án
42,875cm3
12,25cm3
14cm3
21cm3[/INST]</s>
Lời giải:Thể tích của hình lập phương là 3,5 ${\times}$ 3,5 ${\times}$x 3,5 = 42,875 ( cm³ ).
Chọn đáp án:42,875cm3"
213,"<s>[INST]Thể tích hình lập phương có cạnh 2,5dm là:, các đáp án
25dm3
37,5dm3
6,25dm3
15,625dm3[/INST]</s>
Lời giải:Thể tích hình lập phương có cạnh 2,5dm là: 2,5 ${\times}$ 2,5 ${\times}$ 2,5 = 15,625 (dm3).
Chọn đáp án:15,625dm3"
214,"<s>[INST]Thịt trâu gác bếp là một trong những đặc sản của đồng bào vùng núi Tây Bắc. Để làm được 1 kg thịt trâu gác bếp cần khoảng 2900 g thịt trâu tươi. Vậy để làm được 3 kg thịt trâu gác bếp, khối lượng thịt trâu tươi cần dùng là:, các đáp án
2 903 g
8 700 g
9 kg
6 700 g[/INST]</s>
Lời giải:Để làm được 3 kg thịt trâu gác bếp, khối lượng thịt trâu tươi cần dùng là 2900 ${\times}$ 3 = 8700 (g)
Chọn đáp án:8700 g"
215,"<s>[INST]40% của 86 là:, các đáp án
34,4
3,44
344
0,344[/INST]</s>
Lời giải:40% của 86 là: 40 ${\times}$ 86 : 100 = 34,4
Chọn đáp án:34,4"
216,"<s>[INST]Thỏ nặng hơn gà 2 kg. Cân nặng của thỏ là:, các đáp án
3 kg
6 kg
5 kg
4kg[/INST]</s>
Lời giải:Cân nặng của thỏ là:
 2 + 2 = 4 (kg)
Chọn đáp án:4kg"
217,"<s>[INST]Thứ Tư tuần này là ngày 18. Thứ Năm tuần sau là ngày:, các đáp án
25
26
27
28[/INST]</s>
Lời giải:Thứ Năm tuần sau là ngày: $18 + 8 = 26$
Chọn đáp án:26"
218,"<s>[INST]Thứ Tư tuần này là ngày 20. Vậy thứ Tư tuần trước là ngày mấy?, các đáp án
Ngày 13
Ngày 15
Ngày 27
Ngày 12[/INST]</s>
Lời giải:Thứ Tư tuần trước là ngày: 20 – 7 = 13
Chọn đáp án:Ngày 13"
219,"<s>[INST]45% của 240m2 là:, các đáp án
108m2
10,8m2
1080m2
120m2[/INST]</s>
Lời giải:0,45 ${\times}$ 240 = 108.
Chọn đáp án:108m2"
220,"<s>[INST]Thương của 67,89 và 0,1 là:, các đáp án
6,789
67,89
678,9
0,6789[/INST]</s>
Lời giải:Muốn chia một số thập phân cho 0,1 ta chỉ cần chuyển dấu phẩy của số đó lần lượt sang bên phải một chữ số.
 Vậy $\\frac{67,89}{0,1}$ = 678,9
Chọn đáp án:678,9"
221,"<s>[INST]Tỉ số phần trăm của $\frac{3}{4}$ và $\frac{2}{5}$ là:, các đáp án
187,5%
1,875%
53,33%
53%[/INST]</s>
Lời giải:Tỉ số phần trăm của $\frac{3}{4}$ và $\frac{2}{5}$ là: ($\frac{3}{4}$) / ($\frac{2}{5}$) ${\times}$ 100% = 187,5%
 Đáp số: 187,5%
Chọn đáp án:187,5%"
222,"<s>[INST]Tỉ số phần trăm của 1,2 và 2,5 là:, các đáp án
0,48%
48%
4,8%
480%[/INST]</s>
Lời giải:Tỉ số phần trăm của 1,2 và 2,5 là: $\\frac{1,2}{2,5}$ ${\times}$ 100% = 48%.
Chọn đáp án:48%"
223,"<s>[INST]47 là hiệu của:, các đáp án
60 và 23
38 và 9
72 và 25
91 và 65[/INST]</s>
Lời giải:72 - 25 = 47 nên 47 là hiệu của 72 và 25
Chọn đáp án:72 và 25"
224,"<s>[INST]Tỉ số phần trăm của 28 và 80 là:, các đáp án
0,35%
35%
3,5%
0,035%[/INST]</s>
Lời giải:số phần trăm của 28 và 80 là: $\frac{28}{80}$ ${\times}$ 100% = 35%.
Chọn đáp án:35%"
225,"<s>[INST]5 là thương của hai số nào?, các đáp án
14 và 2
18 và 2
25 và 5
15 và 5[/INST]</s>
Lời giải:Ta có: $\frac{14}{2}$ = $\frac{718}{2}$ = $\frac{925}{5}$ = $\frac{515}{5}$ = 3Vậy 5 là thương của 25 và 5.
Chọn đáp án:25 và 5"
226,"<s>[INST]Tỉ số phần trăm của 32 và 50 là:, các đáp án
64%
65%
46%
63%[/INST]</s>
Lời giải:Tỉ số phần trăm của 32 và 50 là: $\frac{32}{50}$ ${\times}$ 100% = 64%.
Chọn đáp án:64%"
227,"<s>[INST]Tỉ số phần trăm của 4 và 1000 là:, các đáp án
0,4%
0,04%
40%
4%[/INST]</s>
Lời giải:Tỉ số phần trăm của 4 và 1000 là: $\frac{4}{1000}$ = 0,004 = 0,4%.
Chọn đáp án:0,4%"
228,"<s>[INST]Tỉ số phần trăm của 48 và 75 là:, các đáp án
0,64%
6,4%
64%
60%[/INST]</s>
Lời giải:Tỉ số phần trăm của 48 và 75 là:48 : 75 ${\times}$ 100% = 64% Đáp số: 64%
Chọn đáp án:64%"
229,"<s>[INST]Tỉ số phần trăm của 54 và 300 là:, các đáp án
0,18 %
18 %
1,8 %
180 %[/INST]</s>
Lời giải:Tỉ số phần trăm của 54 và 300 là : $\frac{54}{300} ${\times}$100% =0,18 ${\times}$ 100 =18%$
Chọn đáp án:18 %"
230,"<s>[INST]Tỉ số phần trăm của 58 và 80 là:, các đáp án
59,8%
80,59%
72,5%
0,725%[/INST]</s>
Lời giải:Tỉ số phần trăm của 58 và 80 là: 58 : 80 ${\times}$ 100% = 72,5%
Chọn đáp án:72,5%"
231,"<s>[INST]Tích của 14253 và 3 là:, các đáp án
32 659
42 759
32 759
42 659[/INST]</s>
Lời giải:14253 ${\times}$ 3 = 42759 Tích của 14253 và 3 là: 42759
Chọn đáp án:42759"
232,"<s>[INST]Tích của 5 và 6 là số liền sau của:, các đáp án
30
29
10
12[/INST]</s>
Lời giải:Tích của 5 và 6 là: 5 ${\times}$ 6 = 30
 Bài toán quay về tìm số liền trước của 30.
 Muốn tìm số liền trước của một số, ta lấy số đó trừ đi 1 đơn vị.
 Vậy số liền trước của 30 là: 30 – 1 = 29
 Vậy Tích của 5 và 6 là số liền sau của: 29.
Chọn đáp án:29"
233,"<s>[INST]Tích của 5 và số liền trước số lớn nhất có một chữ số là:, các đáp án
35
50
45
40[/INST]</s>
Lời giải:Số lớn nhất có một chữ số là: 9
 Muốn tìm số liền trước của một số, ta lấy số đó trừ đi 1 đơn vị.
 Vậy số liền trước của 9 là: 9 – 1 = 8
 Vậy tích của 5 và số liền trước số lớn nhất có một chữ số là: 5 ${\times}$ 8 = 40
Chọn đáp án:40"
234,"<s>[INST]5 là thương của hai số nào?, các đáp án
8 và 2
15 và 5
30 và 5
10 và 2[/INST]</s>
Lời giải:$\frac{10}{2}$ = 5 nên 5 là thương của 10 và 2
Chọn đáp án:10 và 2"
235,"<s>[INST]Tích của 5 và số lớn nhất có một chữ số là:, các đáp án
14
35
40
45[/INST]</s>
Lời giải:Số lớn nhất có một chữ số là: 9
 Vậy tích 5 và số lớn nhất có một chữ số là: 5 ${\times}$ 9 = 45
Chọn đáp án:45"
236,"<s>[INST]Tiết học Toán bắt đầu lúc 9 giờ 5 phút. Thầy giáo dành 15 phút để kiểm tra bài cũ và 30 phút để dạy bài mới. Vậy tiết học Toán kết thúc lúc:, các đáp án
9 giờ 20 phút
10 giờ kém 10 phút
9 giờ 35 phút
10 giờ kèm 15 phút[/INST]</s>
Lời giải:Tiết Toán kết thúc lúc: 9 giờ 5 phút + 15 phút + 30 phút = 9 giờ 50 phút
 Đổi 9 giờ 50 phút = 10 giờ kém 10 phút
Chọn đáp án:10 giờ kém 10 phút"
237,"<s>[INST]5 tạ 36 kg = …. kg. Số cần điền vào chỗ chấm là:, các đáp án
536
5036
5036
5063[/INST]</s>
Lời giải:5 tạ = 5 x 100 = 500kg. Vậy 500kg + 36kg = 536 kg.
Chọn đáp án:536"
238,"<s>[INST]Tìm số gần đúng của a = 2851275 với độ chính xác d = 300, các đáp án
2851000
2851575
2850025
2851200[/INST]</s>
Lời giải:Vì độ chính xác đến hàng trăm nên ta quy tròn a đến hàng nghìn, vậy số quy tròn của a là 2851000.
Chọn đáp án:2851000"
239,"<s>[INST]Hương và Hồng hẹn nhau lúc 10 giờ 40 phút sáng. Hương đến chỗ hẹn lúc 10 giờ 20 phút còn Hồng lại đến muộn mất 15 phút. Hỏi Hương phải đợi Hồng trong bao nhiêu lâu?, các đáp án
20 phút
35 phút
55 phút
1 giờ 20 phút[/INST]</s>
Lời giải:Hồng đến muộn 15 phút nghĩa là Hồng đến lúc 10 giờ 55 phút. 10 giờ 55 phút - 10 giờ 20 phút = 35 phút.
Chọn đáp án:35 phút"
240,"<s>[INST]$\frac{50}{5}$ ? / 22 ${\times}$ 4, các đáp án
20
18
16
14[/INST]</s>
Lời giải:nan
Chọn đáp án:18"
241,"<s>[INST]Tìm số gần đúng của a = 5,2463 với độ chính xác d = 0,001., các đáp án
5,25
5,24
5,246
5,2[/INST]</s>
Lời giải:Vì độ chính xác đến hàng phần nghìn nên ta quy tròn a đến hàng phần trăm, vậy số quy tròn của a là 5,25.
Chọn đáp án:5,25"
242,"<s>[INST]Tìm số x sao cho 4,9 ${\times}$ x = 6,2 ${\times}$ 9,8, các đáp án
12,4
9,8
6,2
12,2[/INST]</s>
Lời giải:4,9 ${\times}$ x = 6,2 ${\times}$ 9,84,9 ${\times}$ x = 60,76x = 60,76 : 4,9x = 12,4
 Vậy x = 12,4
Chọn đáp án:12,4"
243,"<s>[INST]50 là tích của hai số nào?, các đáp án
7 và 2
2 và 10
10 và 5
5 và 9[/INST]</s>
Lời giải:Ta có:Tích của 7 và 2: 7 ${\times}$ 2 = 14Tích của 2 và $\frac{10}{2}$ ${\times}$ 10 = 20Tích của 10 và $\frac{5}{10}$ ${\times}$ 5 = 50Tích của 5 và $\frac{9}{5}$ ${\times}$ 9 = 45Vậy 50 là tích của 10 và 5.
Chọn đáp án:10 và 5"
244,"<s>[INST]50% của 149kg là:, các đáp án
74,4kg
75,4kg
75,5kg
74,5kg[/INST]</s>
Lời giải:50% của 149kg là: 149 ${\times}$ $\frac{50}{100}$ = 74,5 (kg).
Chọn đáp án:74,5kg"
